cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,label,split
0,0,0,0,0,0,0,0,0,0,train_pool
0,0,0,0,0,0,0,0,1,0,train_pool
0,0,0,0,0,0,0,1,0,0,train_pool
0,0,0,0,0,0,0,1,2,0,train_pool
0,0,0,0,0,0,0,2,1,0,train_pool
0,0,0,0,0,0,1,0,0,0,train_pool
0,0,0,0,0,0,1,0,2,0,train_pool
0,0,0,0,0,0,1,1,2,0,train_pool
0,0,0,0,0,0,1,2,0,0,test
0,0,0,0,0,0,1,2,1,0,train_pool
0,0,0,0,0,0,2,0,1,0,train_pool
0,0,0,0,0,0,2,1,0,0,train_pool
0,0,0,0,0,0,2,1,1,0,test
0,0,0,0,0,1,0,0,0,0,train_pool
0,0,0,0,0,1,0,0,2,0,train_pool
0,0,0,0,0,1,0,1,2,0,test
0,0,0,0,0,1,0,2,0,0,train_pool
0,0,0,0,0,1,0,2,1,0,test
0,0,0,0,0,1,1,0,2,0,train_pool
0,0,0,0,0,1,1,2,0,0,train_pool
0,0,0,0,0,1,1,2,2,0,train_pool
0,0,0,0,0,1,2,0,0,0,train_pool
0,0,0,0,0,1,2,0,1,0,train_pool
0,0,0,0,0,1,2,1,0,0,test
0,0,0,0,0,1,2,1,2,0,train_pool
0,0,0,0,0,1,2,2,1,0,train_pool
0,0,0,0,0,2,0,0,1,0,test
0,0,0,0,0,2,0,1,0,0,train_pool
0,0,0,0,0,2,0,1,1,0,train_pool
0,0,0,0,0,2,1,0,0,0,test
0,0,0,0,0,2,1,0,1,0,train_pool
0,0,0,0,0,2,1,1,0,0,train_pool
0,0,0,0,0,2,1,1,2,0,train_pool
0,0,0,0,0,2,1,2,1,0,test
0,0,0,0,0,2,2,1,1,0,train_pool
0,0,0,0,1,0,0,0,0,0,train_pool
0,0,0,0,1,0,0,0,2,0,train_pool
0,0,0,0,1,0,0,1,2,0,test
0,0,0,0,1,0,0,2,0,0,train_pool
0,0,0,0,1,0,0,2,1,0,train_pool
0,0,0,0,1,0,1,0,2,0,train_pool
0,0,0,0,1,0,1,2,0,0,train_pool
0,0,0,0,1,0,1,2,2,0,train_pool
0,0,0,0,1,0,2,0,0,0,test
0,0,0,0,1,0,2,0,1,0,test
0,0,0,0,1,0,2,1,0,0,train_pool
0,0,0,0,1,0,2,1,2,0,train_pool
0,0,0,0,1,0,2,2,1,0,test
0,0,0,0,1,1,0,0,2,0,train_pool
0,0,0,0,1,1,0,2,0,0,train_pool
0,0,0,0,1,1,0,2,2,0,train_pool
0,0,0,0,1,1,1,2,2,0,train_pool
0,0,0,0,1,1,2,0,0,0,train_pool
0,0,0,0,1,1,2,0,2,0,train_pool
0,0,0,0,1,1,2,1,2,0,train_pool
0,0,0,0,1,1,2,2,0,0,train_pool
